Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 250.00 1190.61 100.600330 50.964 0.954271 14.7117 1.13639 0.0417494 8.60943 0.17495 8.39957 0.0109344 0 12.3956 2.23657 0.0467195 0.0646121 0.248508 0.00497016
2 250.00 1189.61 100.458413 50.9678 0.955619 14.6856 1.13834 0.0418083 8.62129 0.175197 8.41144 0.0109498 0 12.3903 2.23639 0.0467701 0.0647034 0.248859 0.00497718
3 250.00 1188.61 100.106268 50.9774 0.958981 14.6208 1.13443 0.0419554 8.65874 0.175813 8.44103 0.0109883 0 12.3775 2.2359 0.0468959 0.064931 0.249735 0.00499469
4 250.00 1187.61 98.599764 51.0667 0.973633 14.5217 1.14843 0.0425965 8.70205 0.176683 8.33176 0.0103154 0 12.4074 2.24675 0.0475032 0.0659231 0.25355 0.00507101
5 250.00 1186.61 97.754433 51.1118 0.982053 14.4422 1.15506 0.0429648 8.73931 0.177399 8.29854 0.0100416 0 12.4142 2.25124 0.0478437 0.0664931 0.255743 0.00511486
6 250.00 1185.61 96.925977 51.1566 0.990447 14.3633 1.16165 0.043332 8.77618 0.178104 8.26547 0.00977701 0 12.4211 2.25564 0.0481822 0.0670615 0.257929 0.00515858
7 250.00 1184.61 96.113894 51.2012 0.998815 14.2849 1.16821 0.0436982 8.81265 0.178798 8.23255 0.0095212 0 12.4283 2.25994 0.048519 0.0676281 0.260108 0.00520216
8 250.00 1183.61 95.317705 51.2455 1.00716 14.2069 1.17474 0.0440632 8.84873 0.179482 8.19978 0.00927383 0 12.4356 2.26414 0.0488539 0.068193 0.262281 0.00524562
9 250.00 1182.61 94.536498 51.2899 1.01548 14.1295 1.17651 0.0444273 8.88871 0.180157 8.16719 0.00903458 0 12.4432 2.26825 0.0491872 0.0687565 0.264448 0.00528896
10 250.00 1181.61 91.406594 51.293 1.04489 14.1867 1.19624 0.0459485 9.06063 0.186326 8.03191 0.00934393 0 12.2273 2.31688 0.0507448 0.0711108 0.273503 0.00547006
11 250.00 1180.61 90.148138 51.2996 1.05761 14.1664 1.20408 0.04659 9.14256 0.188927 8.00115 0.00947437 0 12.1436 2.33359 0.0513816 0.0721035 0.277321 0.00554643
12 250.00 1179.61 88.921456 51.306 1.07034 14.1461 1.21188 0.0472327 9.22415 0.191533 7.97029 0.00960507 0 12.0607 2.35017 0.0520183 0.0730982 0.281147 0.00562294
13 250.00 1178.61 87.725120 51.3122 1.08308 14.1259 1.21961 0.0478768 9.30543 0.194145 7.93929 0.00973606 0 11.9787 2.36662 0.0526551 0.0740951 0.284981 0.00569962
14 250.00 1177.61 86.557777 51.3181 1.09583 14.1056 1.2273 0.0485225 9.38638 0.196763 7.90816 0.00986736 0 11.8975 2.38295 0.0532922 0.0750943 0.288824 0.00577649
15 250.00 1176.61 85.417415 51.3242 1.10861 14.0854 1.22657 0.0491703 9.47466 0.19939 7.87693 0.0099991 0 11.8173 2.39918 0.0539302 0.0760969 0.29268 0.00585361
16 250.00 1175.61 83.780630 51.4263 1.12969 14.0021 1.24446 0.0501309 9.53083 0.200731 7.72116 0.00928725 0 11.8312 2.41726 0.0548384 0.0775836 0.298398 0.00596797
17 250.00 1174.61 82.621496 51.4508 1.14391 13.9698 1.25261 0.0508342 9.60654 0.203074 7.6669 0.00925236 0 11.7699 2.43344 0.0555211 0.078672 0.302585 0.00605169
18 250.00 1173.61 81.494286 51.4752 1.1581 13.9377 1.26069 0.0515374 9.68172 0.205409 7.61301 0.00921784 0 11.7092 2.44944 0.0562022 0.0797602 0.30677 0.0061354
19 250.00 1172.61 80.397664 51.4993 1.17227 13.9055 1.26869 0.0522403 9.75637 0.207736 7.55948 0.00918367 0 11.6491 2.46528 0.0568818 0.0808481 0.310954 0.00621909
20 250.00 1171.61 79.330371 51.5231 1.18642 13.8735 1.27664 0.0529432 9.83051 0.210056 7.50631 0.00914987 0 11.5895 2.48094 0.0575597 0.0819358 0.315138 0.00630276
21 250.00 1170.61 78.291211 51.5468 1.20054 13.8414 1.28451 0.0536459 9.90414 0.212368 7.45348 0.00911641 0 11.5305 2.49643 0.0582361 0.0830234 0.319321 0.00638641
22 250.00 1169.61 77.279057 51.5703 1.21464 13.8095 1.29232 0.0543485 9.97727 0.214672 7.401 0.00908331 0 11.4721 2.51177 0.058911 0.0841108 0.323503 0.00647006
23 250.00 1168.61 76.292837 51.5936 1.22872 13.7776 1.30007 0.055051 10.0499 0.21697 7.34886 0.00905056 0 11.4142 2.52694 0.0595845 0.085198 0.327685 0.0065537
24 250.00 1167.61 75.331536 51.6167 1.24279 13.7457 1.30776 0.0557535 10.122 0.219261 7.29705 0.00901816 0 11.3569 2.54195 0.0602565 0.0862852 0.331866 0.00663733
25 250.00 1166.61 74.394190 51.6396 1.25683 13.7139 1.31538 0.056456 10.1937 0.221545 7.24556 0.0089861 0 11.3001 2.55681 0.0609272 0.0873724 0.336048 0.00672095
26 250.00 1165.61 73.479885 51.6624 1.27085 13.6821 1.32295 0.0571585 10.2649 0.223822 7.1944 0.0089544 0 11.2439 2.57151 0.0615965 0.0884596 0.340229 0.00680458
27 250.00 1164.61 72.587751 51.6849 1.28486 13.6504 1.33046 0.057861 10.3356 0.226093 7.14356 0.00892304 0 11.1882 2.58606 0.0622644 0.0895468 0.344411 0.00688821
28 250.00 1163.61 71.716962 51.7073 1.29885 13.6187 1.33792 0.0585636 10.4058 0.228358 7.09304 0.00889203 0 11.133 2.60047 0.0629311 0.0906341 0.348593 0.00697185
29 250.00 1162.61 70.866732 51.7294 1.31282 13.5871 1.34532 0.0592662 10.4756 0.230616 7.04282 0.00886137 0 11.0783 2.61472 0.0635964 0.0917215 0.352775 0.0070555
30 250.00 1161.61 70.036311 51.7514 1.32678 13.5555 1.35266 0.0599689 10.545 0.232868 6.99291 0.00883106 0 11.0241 2.62884 0.0642606 0.092809 0.356958 0.00713915
31 250.00 1160.61 69.224987 51.7733 1.34073 13.524 1.35995 0.0606717 10.6138 0.235115 6.94329 0.00880111 0 10.9704 2.64281 0.0649235 0.0938967 0.361141 0.00722283
32 250.00 1159.61 68.432078 51.7949 1.35466 13.4925 1.36719 0.0613747 10.6823 0.237355 6.89397 0.00877152 0 10.9172 2.65664 0.0655853 0.0949847 0.365326 0.00730651
33 250.00 1158.61 67.656936 51.8164 1.36858 13.461 1.37438 0.0620779 10.7503 0.239591 6.84495 0.00874228 0 10.8645 2.67033 0.066246 0.0960729 0.369511 0.00739023
34 250.00 1157.61 66.898942 51.8377 1.38248 13.4295 1.38152 0.0627813 10.8178 0.24182 6.79621 0.00871341 0 10.8123 2.68389 0.0669055 0.0971615 0.373698 0.00747396
35 250.00 1156.61 66.157504 51.8588 1.39638 13.3981 1.38862 0.0634849 10.885 0.244045 6.74775 0.00868492 0 10.7605 2.69731 0.067564 0.0982504 0.377886 0.00755772
36 250.00 1155.61 65.432057 51.8798 1.41027 13.3668 1.39566 0.0641887 10.9517 0.246265 6.69957 0.0086568 0 10.7093 2.7106 0.0682214 0.0993397 0.382076 0.00764151
37 250.00 1154.61 64.722061 51.9006 1.42415 13.3354 1.40266 0.0648929 11.018 0.24848 6.65167 0.00862906 0 10.6585 2.72376 0.0688779 0.100429 0.386267 0.00772534
38 250.00 1153.61 64.026999 51.9212 1.43801 13.3041 1.40961 0.0655973 11.0838 0.25069 6.60404 0.00860172 0 10.6081 2.7368 0.0695334 0.10152 0.39046 0.00780921
39 250.00 1152.61 63.346375 51.9417 1.45188 13.2728 1.41652 0.0663021 11.1493 0.252896 6.55668 0.00857478 0 10.5582 2.74971 0.0701879 0.10261 0.394656 0.00789311
40 250.00 1151.61 62.679715 51.962 1.46573 13.2416 1.42338 0.0670073 11.2144 0.255098 6.50958 0.00854825 0 10.5088 2.76249 0.0708416 0.103702 0.398853 0.00797706
41 250.00 1150.61 62.026564 51.9821 1.47958 13.2104 1.43021 0.0677129 11.279 0.257296 6.46274 0.00852214 0 10.4598 2.77516 0.0714943 0.104794 0.403053 0.00806106
42 250.00 1149.61 61.386487 52.0021 1.49343 13.1792 1.43699 0.068419 11.3433 0.25949 6.41616 0.00849647 0 10.4113 2.7877 0.0721463 0.105886 0.407256 0.00814511
