Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 250.00 1190.61 100.455630 50.9679 0.955646 14.6851 1.13803 0.0418095 8.62183 0.175202 8.41167 0.0109501 0 12.3902 2.23639 0.0467711 0.0647052 0.248866 0.00497732
2 250.00 1189.61 100.104313 50.977 0.959 14.6202 1.14236 0.0419562 8.65178 0.175817 8.44119 0.0109885 0 12.3773 2.23588 0.0468965 0.0649323 0.249739 0.00499479
3 250.00 1188.61 98.595821 51.0668 0.973672 14.5213 1.1518 0.0425982 8.69915 0.176685 8.33143 0.0103135 0 12.4074 2.24677 0.0475048 0.0659257 0.25356 0.00507121
4 250.00 1187.61 97.750485 51.1119 0.982092 14.4419 1.15841 0.0429665 8.73643 0.177401 8.2982 0.0100397 0 12.4142 2.25126 0.0478453 0.0664958 0.255753 0.00511506
5 250.00 1186.61 96.922023 51.1567 0.990487 14.3629 1.16498 0.0433338 8.77332 0.178106 8.26513 0.00977514 0 12.4212 2.25566 0.0481839 0.0670642 0.257939 0.00515879
6 250.00 1185.61 96.109934 51.2013 0.998856 14.2845 1.17151 0.0437 8.80982 0.1788 8.23221 0.00951936 0 12.4283 2.25996 0.0485206 0.0676309 0.260119 0.00520238
7 250.00 1184.61 95.313740 51.2456 1.0072 14.2065 1.17802 0.044065 8.84592 0.179484 8.19944 0.00927202 0 12.4357 2.26416 0.0488556 0.0681958 0.262292 0.00524583
8 250.00 1183.61 94.532976 51.2897 1.01552 14.129 1.18449 0.0444289 8.88163 0.180158 8.16681 0.00903275 0 12.4432 2.26827 0.0491887 0.0687591 0.264458 0.00528916
9 250.00 1182.61 91.401896 51.2929 1.04494 14.1864 1.19892 0.0459509 9.05858 0.186335 8.03191 0.00934441 0 12.227 2.31692 0.050747 0.0711145 0.273517 0.00547035
10 250.00 1181.61 90.143440 51.2995 1.05766 14.1661 1.2068 0.0465924 9.14049 0.188936 8.00115 0.00947487 0 12.1433 2.33364 0.0513838 0.0721073 0.277336 0.00554672
11 250.00 1180.61 88.916757 51.3059 1.07039 14.1458 1.21463 0.0472352 9.22206 0.191543 7.97028 0.00960558 0 12.0604 2.35022 0.0520207 0.0731021 0.281162 0.00562324
12 250.00 1179.61 87.720421 51.3121 1.08313 14.1255 1.2224 0.0478794 9.30332 0.194155 7.93928 0.00973658 0 11.9784 2.36667 0.0526576 0.074099 0.284996 0.00569993
13 250.00 1178.61 86.553077 51.318 1.09589 14.1052 1.23012 0.0485251 9.38425 0.196774 7.90814 0.0098679 0 11.8972 2.383 0.0532947 0.0750984 0.28884 0.0057768
14 250.00 1177.61 85.413432 51.3237 1.10866 14.0849 1.23779 0.0491726 9.46488 0.199399 7.87685 0.00999956 0 11.8168 2.39921 0.0539323 0.0761004 0.292694 0.00585388
15 250.00 1176.61 83.774509 51.4264 1.12977 14.0019 1.24877 0.0501346 9.52722 0.200739 7.72051 0.00928536 0 11.8311 2.41735 0.054842 0.0775892 0.29842 0.0059684
16 250.00 1175.61 82.615368 51.4509 1.14399 13.9697 1.25691 0.050838 9.60294 0.203082 7.66624 0.00925044 0 11.7697 2.43353 0.0555248 0.0786779 0.302607 0.00605214
17 250.00 1174.61 81.488151 51.4752 1.15818 13.9375 1.26498 0.0515412 9.67813 0.205417 7.61234 0.00921589 0 11.709 2.44953 0.056206 0.0797662 0.306793 0.00613586
18 250.00 1173.61 80.391523 51.4993 1.17235 13.9054 1.27298 0.0522443 9.7528 0.207744 7.5588 0.0091817 0 11.6489 2.46537 0.0568856 0.0808543 0.310978 0.00621956
19 250.00 1172.61 79.324222 51.5232 1.1865 13.8733 1.28091 0.0529473 9.82695 0.210064 7.50561 0.00914786 0 11.5893 2.48103 0.0575637 0.0819422 0.315162 0.00630324
20 250.00 1171.61 78.285056 51.5469 1.20063 13.8413 1.28878 0.0536501 9.90059 0.212376 7.45278 0.00911438 0 11.5303 2.49653 0.0582402 0.0830299 0.319346 0.00638691
21 250.00 1170.61 77.272896 51.5704 1.21473 13.8093 1.29658 0.0543528 9.97373 0.214681 7.40029 0.00908126 0 11.4719 2.51186 0.0589152 0.0841175 0.323529 0.00647057
22 250.00 1169.61 76.286669 51.5937 1.22882 13.7774 1.30432 0.0550555 10.0464 0.216979 7.34813 0.00904848 0 11.414 2.52704 0.0595888 0.0852049 0.327711 0.00655422
23 250.00 1168.61 75.325362 51.6168 1.24288 13.7455 1.312 0.0557581 10.1185 0.21927 7.29631 0.00901605 0 11.3567 2.54205 0.0602609 0.0862923 0.331894 0.00663787
24 250.00 1167.61 74.388010 51.6398 1.25692 13.7137 1.31962 0.0564607 10.1902 0.221554 7.24482 0.00898397 0 11.2999 2.55691 0.0609317 0.0873797 0.336076 0.00672151
25 250.00 1166.61 73.473699 51.6625 1.27095 13.682 1.32718 0.0571633 10.2614 0.223831 7.19365 0.00895223 0 11.2437 2.57162 0.0616011 0.088467 0.340258 0.00680516
26 250.00 1165.61 72.581560 51.685 1.28496 13.6502 1.33469 0.0578659 10.3321 0.226102 7.1428 0.00892085 0 11.1879 2.58617 0.0622691 0.0895544 0.34444 0.0068888
27 250.00 1164.61 71.710766 51.7074 1.29895 13.6186 1.34213 0.0585686 10.4024 0.228367 7.09226 0.00888981 0 11.1327 2.60057 0.0629359 0.0906419 0.348623 0.00697245
28 250.00 1163.61 70.860530 51.7296 1.31293 13.5869 1.34952 0.0592714 10.4722 0.230625 7.04203 0.00885913 0 11.078 2.61483 0.0636014 0.0917295 0.352806 0.00705611
29 250.00 1162.61 70.030104 51.7516 1.32689 13.5553 1.35686 0.0599742 10.5415 0.232878 6.99211 0.00882879 0 11.0239 2.62895 0.0642656 0.0928172 0.356989 0.00713979
30 250.00 1161.61 69.218774 51.7734 1.34084 13.5238 1.36415 0.0606772 10.6104 0.235125 6.94248 0.00879881 0 10.9702 2.64292 0.0649287 0.0939052 0.361174 0.00722347
31 250.00 1160.61 68.425860 51.7951 1.35477 13.4923 1.37138 0.0613803 10.6789 0.237365 6.89315 0.00876919 0 10.917 2.65675 0.0655906 0.0949933 0.365359 0.00730718
32 250.00 1159.61 67.650713 51.8165 1.36869 13.4608 1.37857 0.0620836 10.7469 0.239601 6.84412 0.00873993 0 10.8643 2.67045 0.0662514 0.0960818 0.369545 0.0073909
33 250.00 1158.61 66.892713 51.8379 1.3826 13.4294 1.3857 0.0627871 10.8144 0.241831 6.79537 0.00871104 0 10.8121 2.68401 0.066911 0.0971705 0.373733 0.00747466
34 250.00 1157.61 66.151271 51.859 1.3965 13.398 1.39279 0.0634908 10.8816 0.244056 6.7469 0.00868251 0 10.7603 2.69743 0.0675696 0.0982596 0.377922 0.00755843
35 250.00 1156.61 65.425819 51.88 1.41039 13.3666 1.39982 0.0641948 10.9483 0.246276 6.69871 0.00865436 0 10.709 2.71072 0.0682272 0.0993492 0.382112 0.00764224
36 250.00 1155.61 64.715818 51.9008 1.42427 13.3352 1.40682 0.0648991 11.0146 0.248491 6.6508 0.0086266 0 10.6582 2.72389 0.0688837 0.100439 0.386304 0.00772609
37 250.00 1154.61 64.020751 51.9214 1.43814 13.3039 1.41376 0.0656037 11.0805 0.250701 6.60316 0.00859923 0 10.6079 2.73692 0.0695393 0.10153 0.390498 0.00780997
38 250.00 1153.61 63.340122 51.9419 1.45201 13.2727 1.42067 0.0663087 11.146 0.252907 6.55578 0.00857226 0 10.558 2.74983 0.070194 0.102621 0.394695 0.00789389
39 250.00 1152.61 62.673457 51.9622 1.46587 13.2414 1.42753 0.067014 11.211 0.255109 6.50867 0.00854571 0 10.5086 2.76262 0.0708478 0.103712 0.398893 0.00797786
40 250.00 1151.61 62.020302 51.9824 1.47972 13.2102 1.43434 0.0677198 11.2757 0.257307 6.46182 0.00851957 0 10.4596 2.77529 0.0715007 0.104804 0.403094 0.00806188
41 250.00 1150.61 61.380220 52.0023 1.49357 13.179 1.44112 0.068426 11.34 0.259501 6.41523 0.00849388 0 10.411 2.78783 0.0721528 0.105897 0.407297 0.00814595
42 250.00 1149.61 60.752793 52.0222 1.50741 13.1478 1.44785 0.0691326 11.4038 0.261692 6.36889 0.00846864 0 10.3629 2.80026 0.0728041 0.106991 0.411504 0.00823007
43 250.00 1148.61 60.137618 52.0418 1.52126 13.1167 1.45455 0.0698398 11.4673 0.26388 6.3228 0.00844386 0 10.3153 2.81257 0.0734547 0.108085 0.415713 0.00831426
44 250.00 1147.61 59.534310 52.0613 1.5351 13.0855 1.46121 0.0705476 11.5304 0.266064 6.27696 0.00841958 0 10.2681 2.82477 0.0741045 0.109181 0.419926 0.00839852
45 250.00 1146.61 58.942496 52.0806 1.54894 13.0544 1.46783 0.0712559 11.5932 0.268246 6.23136 0.0083958 0 10.2212 2.83685 0.0747537 0.110277 0.424142 0.00848284
46 250.00 1145.61 58.361818 52.0998 1.56278 13.0234 1.47441 0.0719649 11.6555 0.270426 6.186 0.00837257 0 10.1749 2.84882 0.0754023 0.111374 0.428362 0.00856724
47 250.00 1144.61 57.791932 52.1188 1.57663 12.9923 1.48096 0.0726745 11.7175 0.272603 6.14088 0.00834989 0 10.1289 2.86069 0.0760503 0.112472 0.432586 0.00865173
48 250.00 1143.61 57.232503 52.1376 1.59048 12.9613 1.48747 0.0733849 11.7791 0.27478 6.09599 0.00832782 0 10.0834 2.87245 0.0766978 0.113572 0.436815 0.00873629
49 250.00 1142.61 56.683211 52.1562 1.60433 12.9302 1.49395 0.074096 11.8403 0.276955 6.05133 0.00830638 0 10.0382 2.8841 0.0773447 0.114672 0.441048 0.00882095
50 250.00 1141.61 56.143744 52.1747 1.61819 12.8992 1.5004 0.074808 11.9012 0.279129 6.00691 0.00828561 0 9.99352 2.89566 0.0779913 0.115774 0.445286 0.00890571
51 250.00 1140.61 55.613801 52.193 1.63205 12.8682 1.50681 0.0755208 11.9618 0.281303 5.96271 0.00826557 0 9.94921 2.90711 0.0786374 0.116877 0.449529 0.00899057
52 250.00 1139.61 55.093087 52.2111 1.64593 12.8373 1.5132 0.0762346 12.022 0.283478 5.91873 0.00824631 0 9.90531 2.91846 0.0792833 0.117982 0.453777 0.00907555
53 250.00 1138.61 54.566635 52.2359 1.6596 12.8075 1.51934 0.0722992 12.0793 0.285742 5.87325 0.00823236 0 9.86184 2.93053 0.0799507 0.11912 0.458155 0.00916311
54 250.00 1137.61 54.059381 52.2557 1.67343 12.777 1.52561 0.0716381 12.138 0.287946 5.82919 0.00821622 0 9.81875 2.94194 0.0806028 0.120238 0.462454 0.00924909
55 250.00 1136.61 53.560551 52.2753 1.68727 12.7464 1.53184 0.0709669 12.1964 0.290155 5.78535 0.00820114 0 9.77605 2.95327 0.0812551 0.121358 0.466761 0.00933523
56 250.00 1135.61 53.069868 52.2947 1.70113 12.7159 1.53805 0.0702853 12.2545 0.292368 5.7417 0.00818726 0 9.73375 2.96451 0.0819075 0.12248 0.471077 0.00942154
57 250.00 1134.61 52.587054 52.314 1.71499 12.6854 1.54423 0.0695932 12.3122 0.294588 5.69826 0.00817474 0 9.69184 2.97568 0.0825602 0.123605 0.475402 0.00950804
58 250.00 1133.61 52.111825 52.3329 1.72888 12.655 1.55039 0.0688903 12.3696 0.296815 5.65503 0.00816378 0 9.65032 2.98678 0.0832134 0.124732 0.479738 0.00959475
59 250.00 1132.61 52.111875 52.3329 1.72888 12.6549 1.55135 0.0688902 12.3687 0.296815 5.65502 0.00816377 0 9.65031 2.98678 0.0832133 0.124732 0.479737 0.00959474
60 250.00 1131.61 51.180236 52.3697 1.75679 12.5941 1.56265 0.0674518 12.4834 0.301328 5.56924 0.00815044 0 9.56863 3.00875 0.0845247 0.127002 0.48847 0.0097694
61 250.00 1130.61 50.725931 52.3878 1.77076 12.5637 1.56876 0.0667145 12.54 0.303598 5.5266 0.00814622 0 9.52828 3.01966 0.0851806 0.12814 0.492845 0.00985689
62 250.00 1129.61 50.277789 52.4054 1.78478 12.5333 1.57486 0.0659649 12.5964 0.305893 5.48417 0.00814564 0 9.48833 3.03053 0.0858382 0.129282 0.497237 0.00994475
63 250.00 1128.61 49.835070 52.4223 1.79886 12.5029 1.58097 0.0652022 12.6526 0.308227 5.44195 0.00815055 0 9.44879 3.04138 0.0864984 0.13043 0.501655 0.0100331
64 250.00 1127.61 49.395555 52.4285 1.81398 12.457 1.58805 0.0646961 12.7033 0.310976 5.40525 0.00822406 0 9.43524 3.04984 0.0871445 0.131591 0.506118 0.0101224
65 250.00 1126.61 48.559300 52.4396 1.84322 12.4119 1.59905 0.0636779 12.7736 0.31635 5.29253 0.0083691 0 9.43111 3.07312 0.0884529 0.133857 0.514834 0.0102967
66 250.00 1125.61 48.118978 52.4468 1.85912 12.3619 1.60664 0.063053 12.8251 0.319245 5.25147 0.00844569 0 9.42193 3.08222 0.0891355 0.135082 0.519546 0.0103909
67 250.00 1124.61 47.685806 52.4539 1.87502 12.3123 1.61419 0.0624125 12.8763 0.322145 5.21052 0.00852241 0 9.41252 3.0913 0.0898182 0.136309 0.524265 0.0104853
68 250.00 1123.61 47.254722 52.4619 1.89073 12.2697 1.6214 0.0616839 12.93 0.325084 5.16834 0.00860015 0 9.39341 3.10143 0.0905166 0.137552 0.529048 0.010581
69 250.00 1122.61 46.825951 52.471 1.90622 12.2343 1.62824 0.0608623 12.9862 0.32806 5.12497 0.0086789 0 9.36416 3.11264 0.0912308 0.138812 0.533892 0.0106778
70 250.00 1121.61 46.404776 52.4801 1.92168 12.199 1.63506 0.0600248 13.0421 0.331038 5.08188 0.00875767 0 9.33508 3.12376 0.091944 0.140072 0.538738 0.0107748
71 250.00 1120.61 45.990979 52.4892 1.9371 12.1638 1.64184 0.0591705 13.0976 0.334016 5.03907 0.00883647 0 9.30618 3.13479 0.0926562 0.141332 0.543585 0.0108717
72 250.00 1119.61 45.584349 52.4983 1.95248 12.1286 1.64858 0.0582985 13.1527 0.336996 4.99653 0.00891529 0 9.27744 3.14574 0.0933675 0.142593 0.548434 0.0109687
73 250.00 1118.61 45.184680 52.5074 1.96782 12.0936 1.65529 0.0574077 13.2075 0.339977 4.95426 0.00899415 0 9.24888 3.15661 0.0940779 0.143854 0.553285 0.0110657
74 250.00 1117.61 44.791772 52.5166 1.98312 12.0586 1.66197 0.0564971 13.2618 0.342959 4.91226 0.00907305 0 9.22047 3.1674 0.0947874 0.145116 0.558138 0.0111628
75 250.00 1116.61 44.405432 52.5258 1.99837 12.0238 1.66861 0.0555654 13.3158 0.345943 4.87052 0.00915198 0 9.19223 3.17811 0.0954962 0.146378 0.562994 0.0112599
76 250.00 1115.61 44.025470 52.535 2.01358 11.989 1.67522 0.054611 13.3694 0.348928 4.82903 0.00923097 0 9.16415 3.18874 0.0962042 0.147642 0.567853 0.0113571
