Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 250.00 1190.61 0.144700 48.3204 0 33.1934 0 0 0 0 0 0 0 16.11 2.36525 0.0109287 0 0 0
2 250.00 1189.61 0.354099 48.3521 0 33.1721 0 0 0 0 0 0 0 16.085 2.37981 0.0110406 0 0 0
3 250.00 1188.61 1.510447 45.1412 0 21.1137 0 0 6.02101 0.118934 15.5955 0.0550407 0 10.4207 1.52681 0.007147 0 0 0
4 250.00 1187.61 0.849279 45.864 0 23.7042 0 0 4.74461 0.0940416 12.1937 0.0420456 0 11.6227 1.72651 0.00813174 0 0 0
5 250.00 1186.61 0.832411 45.8793 0 23.6745 0 0 4.77948 0.095051 12.188 0.041068 0 11.5978 1.73667 0.00822952 0 0 0
6 250.00 1185.61 0.816042 45.8943 0 23.6446 0 0 4.81454 0.0960639 12.1824 0.0401213 0 11.5729 1.74675 0.00832731 0 0 0
7 250.00 1184.61 0.800154 45.9092 0 23.6147 0 0 4.84977 0.0970803 12.1769 0.0392043 0 11.548 1.75675 0.00842508 0 0 0
8 250.00 1183.61 0.784729 45.9238 0 23.5846 0 0 4.88519 0.0981003 12.1716 0.0383157 0 11.5231 1.76669 0.00852284 0 0 0
9 250.00 1182.61 3.134602 51.2017 0.156444 12.4697 0.523048 0 3.93559 0 12.112 0 0 18.7488 0.849075 0.00370374 0 0 0
10 250.00 1181.61 1.263155 50.8237 0.133456 15.6613 0.442143 0 3.36141 0 10.2271 0 0 18.2244 1.12138 0.00513864 0 0 0
11 250.00 1180.61 1.231382 50.8429 0.134816 15.6577 0.442731 0 3.4015 0 10.2307 0 0 18.151 1.13344 0.00523291 0 0 0
12 250.00 1179.61 1.201034 50.8622 0.136133 15.6541 0.44328 0 3.44247 0 10.2348 0 0 18.0762 1.14553 0.00532808 0 0 0
13 250.00 1178.61 1.172043 50.8817 0.137406 15.6505 0.443787 0 3.48437 0 10.2395 0 0 17.9997 1.15765 0.00542418 0 0 0
14 250.00 1177.61 1.144345 50.9013 0.13863 15.6469 0.44425 0 3.52729 0 10.2447 0 0 17.9215 1.1698 0.00552123 0 0 0
15 250.00 1176.61 1.642906 46.1139 0.030034 18.3421 0.0945232 0 6.79446 0.130617 15.8531 0.0463941 0 11.1145 1.47295 0.00743711 0 0 0
