System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
1 250.00 1190.61 100.600330 0.9985616318986951 0.998559 -1234013.055452 269.267405 37.603996 148.179087 -207.029089 2518.143247 -9.389 0.000 2.675264 2.669915 2.400 n/a n/a
2 250.00 1189.61 100.458413 0.9964751674942637 0.996467 -1232315.963240 268.741403 37.542541 147.919855 -206.303284 2512.938587 -9.401 0.000 2.675877 2.669720 2.401 n/a n/a
3 250.00 1188.61 100.106268 0.9849115676162050 0.985898 -1228140.324660 267.411018 37.380369 146.977045 -203.961497 2487.531408 -9.412 0.000 2.675363 2.865472 2.415 n/a n/a
4 250.00 1187.61 98.599764 0.9913866019931101 0.991827 -1208681.674594 263.448762 36.836944 144.851602 -202.049825 2459.587983 -9.424 0.000 2.675467 2.820735 2.421 n/a n/a
5 250.00 1186.61 97.754433 0.9914846765864090 0.991920 -1197839.832817 261.096568 36.519877 143.547656 -200.416449 2439.304768 -9.435 0.000 2.675570 2.821094 2.428 n/a n/a
6 250.00 1185.61 96.925977 0.9915807694989724 0.992012 -1187218.017918 258.790865 36.209139 142.269925 -198.814781 2419.422358 -9.446 0.000 2.675673 2.821459 2.435 n/a n/a
7 250.00 1184.61 96.113894 0.9916749358152225 0.992102 -1176809.694486 256.530279 35.904544 141.017631 -197.243904 2399.928904 -9.458 0.000 2.675775 2.821830 2.441 n/a n/a
8 250.00 1183.61 95.317705 0.9917672286569588 0.992191 -1166608.579330 254.313488 35.605913 139.790026 -195.702935 2380.813007 -9.469 0.000 2.675876 2.822206 2.448 n/a n/a
9 250.00 1182.61 94.536498 0.9668424095605436 0.970555 -1157532.535742 251.499491 35.196479 137.808152 -191.003015 2335.759425 -9.481 0.000 2.675691 3.024583 2.458 n/a n/a
10 250.00 1181.61 91.406594 0.9861809249458396 0.987501 -1116852.298789 243.661805 34.112036 133.636818 -188.096568 2283.157868 -9.493 0.000 2.676016 2.962690 2.462 n/a n/a
11 250.00 1180.61 90.148138 0.9863404640291625 0.987644 -1100721.509145 240.260498 33.638875 131.730485 -185.831760 2254.208157 -9.504 0.000 2.676343 2.962582 2.466 n/a n/a
12 250.00 1179.61 88.921456 0.9864933106486268 0.987780 -1085002.017852 236.944697 33.177628 129.872463 -183.620780 2225.985848 -9.516 0.000 2.676671 2.962475 2.470 n/a n/a
13 250.00 1178.61 87.725120 0.9866395925713753 0.987911 -1069675.388674 233.710586 32.727762 128.060591 -181.461192 2198.458455 -9.527 0.000 2.677000 2.962370 2.473 n/a n/a
14 250.00 1177.61 86.557777 0.9867794136385526 0.988036 -1054724.089566 230.554539 32.288770 126.292806 -179.350674 2171.595059 -9.539 0.000 2.677330 2.962267 2.477 n/a n/a
15 250.00 1176.61 85.417415 0.9807661431355651 0.982316 -1040302.113467 227.346340 31.864473 124.354687 -176.634838 2134.588818 -9.550 0.000 2.676417 2.915625 2.495 n/a n/a
