Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),diopside,clinoenstatite,hedenbergite,alumino-buffonite,buffonite,essenite,jadeite
9,1182.61,0.250,-9.481,2.1915,3.2094,52.2980,0.2238,3.6480,0.7481,0.0000,5.6293,0.0000,17.3244,0.0000,0.0000,19.9978,0.1305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.792,-28.311,5.139,0.683,2.623,0.520175,0.208377,0.171905,0.069745,-0.057455,0.078013,0.009240
10,1181.61,0.250,-9.493,0.7448,3.2101,52.2954,0.2263,3.6411,0.7499,0.0000,5.7010,0.0000,17.3454,0.0000,0.0000,19.9098,0.1311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.158,-9.617,1.746,0.232,0.892,0.514661,0.211711,0.174111,0.069627,-0.057195,0.077802,0.009283
11,1180.61,0.250,-9.504,0.7254,3.2109,52.2928,0.2289,3.6341,0.7516,0.0000,5.7743,0.0000,17.3673,0.0000,0.0000,19.8193,0.1317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.835,-9.363,1.700,0.226,0.868,0.509008,0.215141,0.176364,0.069508,-0.056937,0.077592,0.009325
12,1179.61,0.250,-9.516,0.7068,3.2117,52.2904,0.2313,3.6270,0.7532,0.0000,5.8492,0.0000,17.3903,0.0000,0.0000,19.7263,0.1322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.526,-9.119,1.657,0.220,0.846,0.503204,0.218675,0.178668,0.069386,-0.056679,0.077381,0.009365
13,1178.61,0.250,-9.527,0.6891,3.2125,52.2881,0.2337,3.6198,0.7548,0.0000,5.9259,0.0000,17.4145,0.0000,0.0000,19.6305,0.1328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.231,-8.887,1.615,0.215,0.825,0.497242,0.222321,0.181026,0.069262,-0.056423,0.077169,0.009404
14,1177.61,0.250,-9.539,0.6722,3.2133,52.2860,0.2360,3.6124,0.7563,0.0000,6.0046,0.0000,17.4398,0.0000,0.0000,19.5317,0.1333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.949,-8.664,1.575,0.209,0.805,0.491107,0.226086,0.183443,0.069134,-0.056168,0.076957,0.009441
15,1176.61,0.250,-9.550,0.2021,3.2143,52.2408,0.2442,3.6175,0.7685,0.0000,6.0160,0.0000,17.2939,0.0000,0.0000,19.6845,0.1346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.290,-2.604,0.473,0.063,0.242,0.496577,0.219545,0.183904,0.069295,-0.055871,0.077009,0.009541
16,1175.61,0.250,-9.562,0.5462,3.2151,52.2300,0.2477,3.6129,0.7721,0.0000,6.0807,0.0000,17.2846,0.0000,0.0000,19.6369,0.1353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.886,-7.034,1.278,0.170,0.653,0.492808,0.221216,0.185915,0.069230,-0.055612,0.076853,0.009590
17,1174.61,0.250,-9.574,0.5307,3.2159,52.2191,0.2512,3.6083,0.7757,0.0000,6.1457,0.0000,17.2753,0.0000,0.0000,19.5889,0.1360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.630,-6.832,1.242,0.165,0.634,0.489011,0.222900,0.187939,0.069167,-0.055354,0.076697,0.009640
18,1173.61,0.250,-9.585,0.5159,3.2168,52.2081,0.2546,3.6037,0.7792,0.0000,6.2112,0.0000,17.2659,0.0000,0.0000,19.5406,0.1366,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.384,-6.639,1.207,0.160,0.617,0.485185,0.224599,0.189977,0.069105,-0.055098,0.076544,0.009689
19,1172.61,0.250,-9.597,0.5017,3.2176,52.1971,0.2581,3.5992,0.7828,0.0000,6.2771,0.0000,17.2565,0.0000,0.0000,19.4919,0.1373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.149,-6.453,1.173,0.156,0.600,0.481329,0.226313,0.192029,0.069044,-0.054843,0.076391,0.009737
20,1171.61,0.250,-9.609,0.4881,3.2185,52.1860,0.2616,3.5947,0.7863,0.0000,6.3435,0.0000,17.2472,0.0000,0.0000,19.4429,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.924,-6.275,1.141,0.152,0.583,0.477443,0.228042,0.194097,0.068984,-0.054591,0.076240,0.009785
21,1170.61,0.250,-9.620,0.4751,3.2193,52.1748,0.2650,3.5903,0.7899,0.0000,6.4103,0.0000,17.2378,0.0000,0.0000,19.3934,0.1386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.708,-6.105,1.110,0.148,0.568,0.473524,0.229788,0.196180,0.068925,-0.054340,0.076090,0.009833
22,1169.61,0.250,-9.632,0.4626,3.2202,52.1635,0.2684,3.5859,0.7934,0.0000,6.4776,0.0000,17.2284,0.0000,0.0000,19.3435,0.1392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.500,-5.941,1.081,0.144,0.553,0.469572,0.231550,0.198278,0.068867,-0.054090,0.075942,0.009880
23,1168.61,0.250,-9.644,0.4506,3.2211,52.1522,0.2719,3.5816,0.7969,0.0000,6.5455,0.0000,17.2190,0.0000,0.0000,19.2932,0.1399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.301,-5.784,1.052,0.140,0.538,0.465586,0.233330,0.200394,0.068810,-0.053842,0.075795,0.009927
24,1167.61,0.250,-9.656,0.4390,3.2220,52.1408,0.2753,3.5773,0.8004,0.0000,6.6138,0.0000,17.2096,0.0000,0.0000,19.2424,0.1405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.110,-5.634,1.025,0.136,0.524,0.461565,0.235129,0.202526,0.068754,-0.053596,0.075649,0.009973
25,1166.61,0.250,-9.667,0.4279,3.2228,52.1294,0.2786,3.5730,0.8038,0.0000,6.6827,0.0000,17.2002,0.0000,0.0000,19.1911,0.1411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.926,-5.489,0.999,0.133,0.511,0.457506,0.236947,0.204676,0.068699,-0.053351,0.075504,0.010019
26,1165.61,0.250,-9.679,0.4173,3.2237,52.1178,0.2820,3.5688,0.8073,0.0000,6.7522,0.0000,17.1909,0.0000,0.0000,19.1393,0.1417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.750,-5.349,0.973,0.129,0.498,0.453409,0.238785,0.206844,0.068645,-0.053107,0.075360,0.010065
27,1164.61,0.250,-9.691,0.4070,3.2246,52.1063,0.2854,3.5645,0.8108,0.0000,6.8222,0.0000,17.1815,0.0000,0.0000,19.0870,0.1423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.580,-5.215,0.949,0.126,0.486,0.449272,0.240645,0.209031,0.068590,-0.052865,0.075218,0.010109
28,1163.61,0.250,-9.703,0.3971,3.2255,52.0946,0.2887,3.5603,0.8142,0.0000,6.8928,0.0000,17.1722,0.0000,0.0000,19.0341,0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.416,-5.086,0.926,0.123,0.474,0.445094,0.242527,0.211237,0.068537,-0.052625,0.075076,0.010154
29,1162.61,0.250,-9.715,0.3876,3.2264,52.0830,0.2920,3.5562,0.8176,0.0000,6.9641,0.0000,17.1630,0.0000,0.0000,18.9807,0.1435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.259,-4.962,0.903,0.120,0.462,0.440872,0.244433,0.213464,0.068483,-0.052385,0.074936,0.010198
30,1161.61,0.250,-9.726,0.3785,3.2273,52.0712,0.2953,3.5520,0.8210,0.0000,7.0360,0.0000,17.1538,0.0000,0.0000,18.9266,0.1441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.107,-4.842,0.882,0.117,0.451,0.436606,0.246363,0.215712,0.068430,-0.052148,0.074797,0.010241
31,1160.61,0.250,-9.738,0.3697,3.2282,52.0594,0.2986,3.5478,0.8244,0.0000,7.1086,0.0000,17.1446,0.0000,0.0000,18.8719,0.1447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.961,-4.727,0.861,0.115,0.441,0.432293,0.248319,0.217981,0.068377,-0.051911,0.074658,0.010284
32,1159.61,0.250,-9.750,0.3612,3.2292,52.0476,0.3018,3.5437,0.8278,0.0000,7.1819,0.0000,17.1356,0.0000,0.0000,18.8165,0.1452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.821,-4.616,0.841,0.112,0.431,0.427930,0.250302,0.220273,0.068324,-0.051676,0.074521,0.010326
33,1158.61,0.250,-9.762,0.3530,3.2301,52.0357,0.3050,3.5395,0.8311,0.0000,7.2559,0.0000,17.1266,0.0000,0.0000,18.7604,0.1458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.685,-4.509,0.822,0.109,0.421,0.423517,0.252314,0.222589,0.068270,-0.051442,0.074384,0.010367
34,1157.61,0.250,-9.774,0.3451,3.2310,52.0238,0.3082,3.5353,0.8345,0.0000,7.3307,0.0000,17.1177,0.0000,0.0000,18.7035,0.1463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.554,-4.406,0.803,0.107,0.411,0.419050,0.254357,0.224929,0.068217,-0.051209,0.074248,0.010408
35,1156.61,0.250,-9.786,0.3374,3.2320,52.0118,0.3114,3.5312,0.8378,0.0000,7.4062,0.0000,17.1089,0.0000,0.0000,18.6458,0.1468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.428,-4.306,0.785,0.104,0.402,0.414527,0.256431,0.227295,0.068163,-0.050978,0.074113,0.010448
36,1155.61,0.250,-9.798,0.3301,3.2329,51.9999,0.3145,3.5270,0.8411,0.0000,7.4826,0.0000,17.1003,0.0000,0.0000,18.5873,0.1474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.307,-4.210,0.768,0.102,0.393,0.409946,0.258540,0.229687,0.068108,-0.050748,0.073979,0.010488
37,1154.61,0.250,-9.810,0.3230,3.2339,51.9878,0.3175,3.5228,0.8444,0.0000,7.5599,0.0000,17.0918,0.0000,0.0000,18.5279,0.1479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.189,-4.117,0.751,0.100,0.385,0.405302,0.260684,0.232107,0.068052,-0.050519,0.073846,0.010527
38,1153.61,0.250,-9.822,0.3161,3.2348,51.9758,0.3206,3.5185,0.8476,0.0000,7.6380,0.0000,17.0835,0.0000,0.0000,18.4675,0.1484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.076,-4.028,0.735,0.098,0.376,0.400593,0.262867,0.234556,0.067996,-0.050291,0.073713,0.010565
39,1152.61,0.250,-9.834,0.3095,3.2358,51.9637,0.3236,3.5143,0.8509,0.0000,7.7171,0.0000,17.0754,0.0000,0.0000,18.4062,0.1489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.966,-3.941,0.719,0.096,0.369,0.395816,0.265091,0.237036,0.067939,-0.050064,0.073581,0.010602
40,1151.61,0.250,-9.846,0.3031,3.2368,51.9517,0.3265,3.5099,0.8541,0.0000,7.7972,0.0000,17.0675,0.0000,0.0000,18.3437,0.1494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.861,-3.858,0.704,0.094,0.361,0.390966,0.267357,0.239548,0.067880,-0.049839,0.073449,0.010639
41,1150.61,0.250,-9.858,0.2970,3.2378,51.9396,0.3294,3.5056,0.8573,0.0000,7.8784,0.0000,17.0598,0.0000,0.0000,18.2801,0.1498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.759,-3.777,0.690,0.092,0.353,0.386039,0.269671,0.242093,0.067820,-0.049615,0.073318,0.010675
42,1149.61,0.250,-9.870,0.2910,3.2387,51.9275,0.3323,3.5012,0.8604,0.0000,7.9607,0.0000,17.0524,0.0000,0.0000,18.2152,0.1503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.660,-3.699,0.676,0.090,0.346,0.381030,0.272034,0.244674,0.067758,-0.049392,0.073187,0.010709
