Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),h2oduan,co2duan
95,1096.61,0.250,-10.534,0.0001,0.0775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.1600,85.8400,0.0000,0.0000,0.0000,-0.001,-0.001,0.001,0.001,0.000,0.287232,0.712768
96,1095.61,0.250,-10.547,0.0001,0.0773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3874,85.6126,0.0000,0.0000,0.0000,-0.002,-0.001,0.001,0.002,0.000,0.291052,0.708948
97,1094.61,0.250,-10.560,0.0002,0.0772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6177,85.3823,0.0000,0.0000,0.0000,-0.004,-0.002,0.001,0.003,0.000,0.294898,0.705102
98,1093.61,0.250,-10.573,0.0003,0.0771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8509,85.1491,0.0000,0.0000,0.0000,-0.005,-0.002,0.002,0.004,0.000,0.298772,0.701228
99,1092.61,0.250,-10.586,0.0003,0.0769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0870,84.9130,0.0000,0.0000,0.0000,-0.006,-0.003,0.002,0.004,0.001,0.302675,0.697325
100,1091.61,0.250,-10.599,0.0004,0.0768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3263,84.6737,0.0000,0.0000,0.0000,-0.007,-0.003,0.003,0.005,0.001,0.306605,0.693395
101,1090.61,0.250,-10.612,0.0005,0.0767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.5687,84.4313,0.0000,0.0000,0.0000,-0.008,-0.004,0.003,0.006,0.001,0.310564,0.689436
102,1089.61,0.250,-10.625,0.0005,0.0765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8142,84.1858,0.0000,0.0000,0.0000,-0.009,-0.004,0.003,0.007,0.001,0.314552,0.685448
103,1088.61,0.250,-10.639,0.0006,0.0764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0630,83.9370,0.0000,0.0000,0.0000,-0.010,-0.005,0.004,0.008,0.001,0.318570,0.681430
104,1087.61,0.250,-10.652,0.0007,0.0762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3150,83.6850,0.0000,0.0000,0.0000,-0.011,-0.005,0.004,0.009,0.001,0.322616,0.677384
105,1086.61,0.250,-10.665,0.0007,0.0761,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5704,83.4296,0.0000,0.0000,0.0000,-0.012,-0.006,0.005,0.010,0.001,0.326692,0.673308
106,1085.61,0.250,-10.678,0.0008,0.0759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8292,83.1708,0.0000,0.0000,0.0000,-0.014,-0.007,0.005,0.010,0.001,0.330797,0.669203
107,1084.61,0.250,-10.691,0.0009,0.0758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0915,82.9085,0.0000,0.0000,0.0000,-0.015,-0.007,0.006,0.011,0.001,0.334932,0.665068
108,1083.61,0.250,-10.705,0.0009,0.0756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.3572,82.6428,0.0000,0.0000,0.0000,-0.016,-0.008,0.006,0.012,0.001,0.339097,0.660903
109,1082.61,0.250,-10.718,0.0010,0.0755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.6266,82.3734,0.0000,0.0000,0.0000,-0.017,-0.008,0.007,0.013,0.002,0.343292,0.656708
110,1081.61,0.250,-10.731,0.0011,0.0753,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8995,82.1005,0.0000,0.0000,0.0000,-0.018,-0.009,0.007,0.014,0.002,0.347516,0.652484
111,1080.61,0.250,-10.745,0.0011,0.0752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.1762,81.8238,0.0000,0.0000,0.0000,-0.020,-0.009,0.007,0.015,0.002,0.351772,0.648228
112,1079.61,0.250,-10.758,0.0012,0.0750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.4567,81.5433,0.0000,0.0000,0.0000,-0.021,-0.010,0.008,0.016,0.002,0.356060,0.643940
113,1078.61,0.250,-10.771,0.0013,0.0748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.7413,81.2587,0.0000,0.0000,0.0000,-0.022,-0.011,0.008,0.017,0.002,0.360381,0.639619
114,1077.61,0.250,-10.785,0.0013,0.0747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0303,80.9697,0.0000,0.0000,0.0000,-0.023,-0.011,0.009,0.018,0.002,0.364741,0.635259
115,1076.61,0.250,-10.798,0.0014,0.0745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3244,80.6756,0.0000,0.0000,0.0000,-0.025,-0.012,0.009,0.019,0.002,0.369149,0.630851
116,1075.61,0.250,-10.811,0.0015,0.0743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6261,80.3739,0.0000,0.0000,0.0000,-0.026,-0.012,0.010,0.020,0.002,0.373640,0.626360
117,1074.61,0.250,-10.825,0.0016,0.0742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9465,80.0535,0.0000,0.0000,0.0000,-0.027,-0.013,0.011,0.021,0.002,0.378376,0.621624
118,1073.61,0.250,-10.838,0.0017,0.0739,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.3109,79.6891,0.0000,0.0000,0.0000,-0.029,-0.014,0.011,0.023,0.003,0.383722,0.616278
119,1072.61,0.250,-10.852,0.0018,0.0737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.6995,79.3005,0.0000,0.0000,0.0000,-0.031,-0.015,0.012,0.024,0.003,0.389376,0.610624
120,1071.61,0.250,-10.865,0.0019,0.0735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0899,78.9101,0.0000,0.0000,0.0000,-0.033,-0.016,0.013,0.026,0.003,0.395006,0.604994
121,1070.61,0.250,-10.879,0.0020,0.0732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.4821,78.5179,0.0000,0.0000,0.0000,-0.036,-0.017,0.014,0.028,0.003,0.400613,0.599387
