Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1190.61,0.250,-9.389,1.0045562957347e+02,2.6753,50.9679,0.9556,14.6851,1.1380,0.0418,8.6218,0.1752,8.4117,0.0110,0.0000,12.3902,2.2364,0.0468,0.0647,0.2489,0.0050,0.0000,0.0000,0.0000,-1.6256404263183e+03,-1.2320140175124e+03,2.6891469699782e+02,3.7549799706685e+01,1.4800083586684e+02,4.4293150e-01,1.9830518e-02,1.0624821e-02,2.5362350e-03,1.9749712e-03,7.1657214e-02,3.8514491e-03,5.9619757e-02,5.5694451e-04,5.6709001e-01,1.3461836e-01,1.4682332e-04,7.6805211e-04,3.3190648e-02,1.0500367e-04,6.7651511e-01,6.7651511e-01,6.7651511e-01,1.4215107e-03,2.4002,1.4470030547864e-01,2.6699,-2.5153174338574e+00,-1.9990379393129e+00,3.5270789951018e-01,5.4196590921325e-02,1.7825160940948e-01,-1.6281557437522e+03,-1.2340130554518e+03, 2.6926740489733e+02, 3.7603996297606e+01, 1.4817908747625e+02, 2.5183453554585e-03,-2.0709887217330e-04, 6.6970152202117e-05, 5.5073633805906e-06, 2.5171001071366e-03,-2.0702396913310e-04, 6.7033649361611e-05, 5.5133175343208e-06
2,1189.61,0.250,-9.401,1.0010431343280e+02,2.6759,50.9770,0.9590,14.6202,1.1424,0.0420,8.6518,0.1758,8.4412,0.0110,0.0000,12.3773,2.2359,0.0469,0.0649,0.2497,0.0050,0.0000,0.0000,0.0000,-1.6192655239185e+03,-1.2274237439817e+03,2.6787849501002e+02,3.7409905798331e+01,1.4748368430070e+02,4.4340031e-01,1.9921290e-02,1.0536559e-02,2.5282456e-03,1.9839386e-03,7.1834516e-02,3.8688526e-03,5.9805646e-02,5.5805164e-04,5.6623865e-01,1.3446461e-01,1.4648391e-04,7.7081758e-04,3.3301203e-02,1.0506399e-04,6.7577079e-01,6.7577079e-01,6.7577079e-01,1.4337220e-03,2.4006,3.5409907789235e-01,2.6697,-6.1544463819834e+00,-4.8922192582608e+00,8.6290824403203e-01,1.3263530223035e-01,4.3617042988058e-01,-1.6278871637655e+03,-1.2342772046564e+03, 2.6908729202928e+02, 3.7595707015212e+01, 1.4809470398953e+02, 2.5143622040451e-03,-2.0644660832439e-04, 6.6878971129011e-05, 5.4912282469075e-06, 2.5100923738481e-03,-2.0618970558668e-04, 6.7096997981751e-05, 5.5116339158458e-06
3,1188.61,0.250,-9.412,9.8595821262943e+01,2.6754,51.0668,0.9737,14.5213,1.1518,0.0426,8.6991,0.1767,8.3314,0.0103,0.0000,12.4074,2.2468,0.0475,0.0659,0.2536,0.0051,0.0000,0.0000,0.0000,-1.5937151013761e+03,-1.2081869926059e+03,2.6374252518149e+02,3.6853248886888e+01,1.4511386037212e+02,4.4481472e-01,2.0267955e-02,1.0353660e-02,2.5494209e-03,2.0081017e-03,7.2516780e-02,3.9030170e-03,5.8817459e-02,5.2449318e-04,5.6599622e-01,1.3523685e-01,1.4613888e-04,7.7453138e-04,3.4069667e-02,1.0674494e-04,6.7371232e-01,6.7371232e-01,6.7371232e-01,1.4738425e-03,2.4148,1.5104466546690e+00,2.8655,-2.5315785830244e+01,-1.9953332053738e+01,3.6684928232500e+00,5.2711971073452e-01,1.8631846681776e+00,-1.6251367095566e+03,-1.2329950055373e+03, 2.6826693279755e+02, 3.7511971421451e+01, 1.4740978926318e+02, 2.4907591480676e-03,-2.0421355211849e-04, 6.6399046855832e-05, 5.4439568057921e-06, 2.4716367186527e-03,-2.0340837545296e-04, 6.7066996623250e-05, 5.5194150202951e-06
4,1187.61,0.250,-9.424,9.7750484788913e+01,2.6755,51.1119,0.9821,14.4419,1.1584,0.0430,8.7364,0.1774,8.2982,0.0100,0.0000,12.4142,2.2513,0.0478,0.0665,0.2558,0.0051,0.0000,0.0000,0.0000,-1.5791737373545e+03,-1.1973526850461e+03,2.6138531700914e+02,3.6535860014024e+01,1.4380453069491e+02,4.4569969e-01,2.0473454e-02,1.0225558e-02,2.5545468e-03,2.0237865e-03,7.2917971e-02,3.9277331e-03,5.8475279e-02,5.1046579e-04,5.6541232e-01,1.3550164e-01,1.4578758e-04,7.7763966e-04,3.4479216e-02,1.0752742e-04,6.7238150e-01,6.7238150e-01,6.7238150e-01,1.4988537e-03,2.4214,8.4927900897656e-01,2.8207,-1.4343186255230e+01,-1.1328989547981e+01,2.0634450538771e+00,3.0108433327642e-01,1.0470717697482e+00,-1.6187574136470e+03,-1.2285803917690e+03, 2.6710560860032e+02, 3.7362555410964e+01, 1.4670934290617e+02, 2.4758400939786e-03,-2.0274141678617e-04, 6.6265277274157e-05, 5.4263262926248e-06, 2.4511171293982e-03,-2.0174993469467e-04, 6.7087982285276e-05, 5.5219703222321e-06
5,1186.61,0.250,-9.435,9.6922022540782e+01,2.6756,51.1567,0.9905,14.3629,1.1650,0.0433,8.7733,0.1781,8.2651,0.0098,0.0000,12.4212,2.2557,0.0482,0.0671,0.2579,0.0052,0.0000,0.0000,0.0000,-1.5649249740424e+03,-1.1867381890968e+03,2.5907474301760e+02,3.6224810217360e+01,1.4252157796899e+02,4.4657761e-01,2.0678418e-02,1.0099249e-02,2.5596357e-03,2.0393933e-03,7.3315803e-02,3.9522244e-03,5.8134823e-02,4.9691000e-04,5.6482240e-01,1.3576672e-01,1.4543042e-04,7.8069642e-04,3.4889798e-02,1.0830325e-04,6.7105469e-01,6.7105469e-01,6.7105469e-01,1.5239944e-03,2.4280,8.3241061342029e-01,2.8211,-1.4053021273051e+01,-1.1101643720461e+01,2.0218246946280e+00,2.9506659826493e-01,1.0260781668980e+00,-1.5932475107800e+03,-1.2091133980367e+03, 2.6314892668073e+02, 3.6819459907582e+01, 1.4458936115936e+02, 2.4481372173365e-03,-2.0085506470109e-04, 6.6490307665603e-05, 5.4551333779812e-06, 2.4310054407873e-03,-2.0012393482371e-04, 6.7108852363907e-05, 5.5244991933128e-06
6,1185.61,0.250,-9.446,9.6109934456710e+01,2.6757,51.2013,0.9989,14.2845,1.1715,0.0437,8.8098,0.1788,8.2322,0.0095,0.0000,12.4283,2.2600,0.0485,0.0676,0.2601,0.0052,0.0000,0.0000,0.0000,-1.5509601311388e+03,-1.1763369775097e+03,2.5680942316413e+02,3.5919912134867e+01,1.4126421709970e+02,4.4744848e-01,2.0882838e-02,9.9747022e-03,2.5646889e-03,2.0549229e-03,7.3710287e-02,3.9764913e-03,5.7796080e-02,4.8380601e-04,5.6422661e-01,1.3603211e-01,1.4506757e-04,7.8370221e-04,3.5301413e-02,1.0912908e-04,6.6973185e-01,6.6973185e-01,6.6973185e-01,1.5492629e-03,2.4346,8.1604213849221e-01,2.8215,-1.3771487525686e+01,-1.0881040408631e+01,1.9814420161338e+00,2.8922701015993e-01,1.0057080132046e+00,-1.5787110309948e+03,-1.1982642229447e+03, 2.6080161990394e+02, 3.6502704656748e+01, 1.4329063898659e+02, 2.4280846274675e-03,-1.9924627497875e-04, 6.6517937514492e-05, 5.4583975859421e-06, 2.4112892088960e-03,-1.9852943072484e-04, 6.7129596526920e-05, 5.5270021257133e-06
7,1184.61,0.250,-9.458,9.5313739726805e+01,2.6758,51.2456,1.0072,14.2065,1.1780,0.0441,8.8459,0.1795,8.1994,0.0093,0.0000,12.4357,2.2642,0.0489,0.0682,0.2623,0.0052,0.0000,0.0000,0.0000,-1.5372708624237e+03,-1.1661427748773e+03,2.5458803003509e+02,3.5620985613696e+01,1.4003169409535e+02,4.4831250e-01,2.1086713e-02,9.8518903e-03,2.5697086e-03,2.0703765e-03,7.4101452e-02,4.0005352e-03,5.7459053e-02,4.7113515e-04,5.6362525e-01,1.3629778e-01,1.4469923e-04,7.8665774e-04,3.5714070e-02,1.0989180e-04,6.6841313e-01,6.6841313e-01,6.6841313e-01,1.5746580e-03,2.4412,8.0015433713117e-01,2.8218,-1.3498251682998e+01,-1.0666919608789e+01,1.9422492647038e+00,2.8355870830052e-01,9.8593726810474e-01,-1.5644670533014e+03,-1.1876352824611e+03, 2.5850066705298e+02, 3.6192270395426e+01, 1.4201797748005e+02, 2.4084263556773e-03,-1.9766848646271e-04, 6.6545323887216e-05, 5.4616216198389e-06, 2.3919574160122e-03,-1.9696551342575e-04, 6.7150231101200e-05, 5.5294796040122e-06
8,1183.61,0.250,-9.469,9.4532975886978e+01,2.6759,51.2897,1.0155,14.1290,1.1845,0.0444,8.8816,0.1802,8.1668,0.0090,0.0000,12.4432,2.2683,0.0492,0.0688,0.2645,0.0053,0.0000,0.0000,0.0000,-1.5238491414282e+03,-1.1561495457689e+03,2.5240928733290e+02,3.5327857371016e+01,1.3882328300283e+02,4.4916969e-01,2.1290035e-02,9.7307834e-03,2.5746962e-03,2.0857549e-03,7.4489310e-02,4.0243567e-03,5.7123728e-02,4.5887956e-04,5.6301847e-01,1.3656373e-01,1.4432557e-04,7.8956356e-04,3.6127770e-02,1.1064809e-04,6.6709850e-01,6.6709850e-01,6.6709850e-01,1.6001780e-03,2.4478,7.8472886819285e-01,2.8222,-1.3232996128431e+01,-1.0459033561519e+01,1.9042009370370e+00,2.7805515496849e-01,9.6674302333297e-01,-1.5505069003318e+03,-1.1772200333684e+03, 2.5624469858890e+02, 3.5887970442594e+01, 1.4077060373993e+02, 2.3891504904162e-03,-1.9612080886274e-04, 6.6572460380224e-05, 5.4648063527710e-06, 2.3729985279843e-03,-1.9543130840582e-04, 6.7170745824263e-05, 5.5319321054030e-06
9,1182.61,0.250,-9.481,9.1401895993801e+01,2.6757,51.2929,1.0449,14.1864,1.1989,0.0460,9.0586,0.1863,8.0319,0.0093,0.0000,12.2270,2.3169,0.0507,0.0711,0.2735,0.0055,0.0000,0.0000,0.0000,-1.4714865219466e+03,-1.1161857664098e+03,2.4406557954451e+02,3.4160104087879e+01,1.3402373261281e+02,4.5078743e-01,2.2320848e-02,9.7775243e-03,2.5547725e-03,2.1257067e-03,7.6576152e-02,4.1639795e-03,5.6343957e-02,4.7666643e-04,5.7077184e-01,1.3394807e-01,1.4253372e-04,8.0029782e-04,3.8075259e-02,1.1356116e-04,6.6725599e-01,6.6725599e-01,6.6725599e-01,1.7109128e-03,2.4578,3.1346024985910e+00,3.0246,-5.2168755426284e+01,-4.1346769332038e+01,7.4339113181025e+00,1.0363749358418e+00,3.7844192794585e+00,-1.5368148428740e+03,-1.1679360911748e+03, 2.5339266779521e+02, 3.5473033527447e+01, 1.3876953765127e+02, 2.3439478624949e-03,-1.9141402693226e-04, 6.6076893612192e-05, 5.3960433573902e-06, 2.2981189944699e-03,-1.9001243435544e-04, 6.7274941216745e-05, 5.5624079442679e-06
10,1181.61,0.250,-9.493,9.0143439709852e+01,2.6760,51.2995,1.0577,14.1661,1.2068,0.0466,9.1405,0.1889,8.0011,0.0095,0.0000,12.1433,2.3336,0.0514,0.0721,0.2773,0.0055,0.0000,0.0000,0.0000,-1.4501640002465e+03,-1.1000696748634e+03,2.4065445557486e+02,3.3685682094828e+01,1.3210713447361e+02,4.5165448e-01,2.2757162e-02,9.7411319e-03,2.5424835e-03,2.1452971e-03,7.7439268e-02,4.2253390e-03,5.6167035e-02,4.8356847e-04,5.7297248e-01,1.3293787e-01,1.4165420e-04,8.0568935e-04,3.8866186e-02,1.1457876e-04,6.6682476e-01,6.6682476e-01,6.6682476e-01,1.7604563e-03,2.4617,1.2631545870339e+00,2.9627,-2.1157593030143e+01,-1.6782623925105e+01,3.0073489679608e+00,4.2635392260162e-01,1.5296835099419e+00,-1.5268776308949e+03,-1.1608339206301e+03, 2.5161804526248e+02, 3.5214282405637e+01, 1.3768990435396e+02, 2.3243232292743e-03,-1.8927650468294e-04, 6.6005128331173e-05, 5.3749925244151e-06, 2.2688010429166e-03,-1.8770297564864e-04, 6.7352088538084e-05, 5.5721886563033e-06
