Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),tephroite,fayalite,co-olivine,ni-olivine,monticellite,forsterite
3,1188.61,0.250,-9.412,0.5483,3.2892,39.4420,0.0000,0.0000,0.0000,0.0000,16.5855,0.3276,42.9594,0.1516,0.0000,0.5338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.596,-6.660,1.324,0.167,0.678,0.003518,0.175832,0.000000,0.001546,0.014501,0.804604
4,1187.61,0.250,-9.424,0.2415,3.2906,39.4235,0.0000,0.0000,0.0000,0.0000,16.6842,0.3307,42.8784,0.1479,0.0000,0.5354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.783,-2.931,0.583,0.073,0.299,0.003552,0.176960,0.000000,0.001508,0.014551,0.803428
5,1186.61,0.250,-9.435,0.2371,3.2921,39.4049,0.0000,0.0000,0.0000,0.0000,16.7828,0.3338,42.7972,0.1442,0.0000,0.5370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.710,-2.875,0.572,0.072,0.293,0.003587,0.178090,0.000000,0.001472,0.014601,0.802249
6,1185.61,0.250,-9.446,0.2327,3.2935,39.3864,0.0000,0.0000,0.0000,0.0000,16.8815,0.3368,42.7160,0.1407,0.0000,0.5386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.639,-2.820,0.561,0.071,0.287,0.003622,0.179222,0.000000,0.001436,0.014652,0.801068
7,1184.61,0.250,-9.458,0.2285,3.2950,39.3678,0.0000,0.0000,0.0000,0.0000,16.9803,0.3399,42.6346,0.1373,0.0000,0.5402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.570,-2.767,0.551,0.069,0.282,0.003657,0.180356,0.000000,0.001402,0.014703,0.799883
8,1183.61,0.250,-9.469,0.2245,3.2964,39.3491,0.0000,0.0000,0.0000,0.0000,17.0791,0.3430,42.5530,0.1340,0.0000,0.5419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.503,-2.715,0.541,0.068,0.277,0.003691,0.181491,0.000000,0.001369,0.014754,0.798695
15,1176.61,0.250,-9.550,0.5431,3.3153,39.1092,0.0000,0.0000,0.0000,0.0000,18.3146,0.3951,41.5206,0.1403,0.0000,0.5201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.386,-6.497,1.303,0.164,0.666,0.004279,0.195815,0.000000,0.001443,0.014248,0.784215
16,1175.61,0.250,-9.562,0.0989,3.3177,39.0784,0.0000,0.0000,0.0000,0.0000,18.4741,0.4017,41.3875,0.1401,0.0000,0.5183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.525,-1.182,0.237,0.030,0.121,0.004353,0.197675,0.000000,0.001442,0.014209,0.782321
17,1174.61,0.250,-9.574,0.0962,3.3201,39.0475,0.0000,0.0000,0.0000,0.0000,18.6339,0.4082,41.2540,0.1399,0.0000,0.5165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.481,-1.147,0.230,0.029,0.118,0.004428,0.199543,0.000000,0.001441,0.014171,0.780417
18,1173.61,0.250,-9.585,0.0935,3.3226,39.0165,0.0000,0.0000,0.0000,0.0000,18.7941,0.4149,41.1202,0.1398,0.0000,0.5147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.438,-1.114,0.224,0.028,0.114,0.004503,0.201418,0.000000,0.001440,0.014133,0.778505
19,1172.61,0.250,-9.597,0.0910,3.3250,38.9854,0.0000,0.0000,0.0000,0.0000,18.9547,0.4215,40.9859,0.1396,0.0000,0.5129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.397,-1.082,0.218,0.027,0.111,0.004579,0.203302,0.000000,0.001439,0.014096,0.776583
20,1171.61,0.250,-9.609,0.0886,3.3275,38.9542,0.0000,0.0000,0.0000,0.0000,19.1158,0.4282,40.8513,0.1394,0.0000,0.5112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.358,-1.052,0.212,0.027,0.108,0.004656,0.205193,0.000000,0.001439,0.014060,0.774653
21,1170.61,0.250,-9.620,0.0862,3.3300,38.9229,0.0000,0.0000,0.0000,0.0000,19.2773,0.4350,40.7162,0.1392,0.0000,0.5095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.320,-1.023,0.206,0.026,0.105,0.004733,0.207093,0.000000,0.001438,0.014024,0.772712
22,1169.61,0.250,-9.632,0.0840,3.3324,38.8915,0.0000,0.0000,0.0000,0.0000,19.4392,0.4417,40.5808,0.1390,0.0000,0.5078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.284,-0.994,0.201,0.025,0.102,0.004810,0.209002,0.000000,0.001437,0.013989,0.770762
23,1168.61,0.250,-9.644,0.0818,3.3349,38.8600,0.0000,0.0000,0.0000,0.0000,19.6017,0.4485,40.4448,0.1388,0.0000,0.5061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.249,-0.967,0.195,0.025,0.100,0.004888,0.210919,0.000000,0.001436,0.013955,0.768802
24,1167.61,0.250,-9.656,0.0797,3.3375,38.8285,0.0000,0.0000,0.0000,0.0000,19.7646,0.4554,40.3084,0.1386,0.0000,0.5045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.216,-0.941,0.190,0.024,0.097,0.004967,0.212846,0.000000,0.001435,0.013921,0.766831
25,1166.61,0.250,-9.667,0.0777,3.3400,38.7968,0.0000,0.0000,0.0000,0.0000,19.9281,0.4622,40.1716,0.1384,0.0000,0.5029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.183,-0.917,0.185,0.023,0.095,0.005046,0.214781,0.000000,0.001434,0.013888,0.764851
26,1165.61,0.250,-9.679,0.0758,3.3425,38.7650,0.0000,0.0000,0.0000,0.0000,20.0921,0.4692,40.0342,0.1382,0.0000,0.5013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.152,-0.892,0.181,0.023,0.092,0.005126,0.216726,0.000000,0.001434,0.013855,0.762859
27,1164.61,0.250,-9.691,0.0740,3.3450,38.7331,0.0000,0.0000,0.0000,0.0000,20.2566,0.4761,39.8964,0.1380,0.0000,0.4997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.122,-0.869,0.176,0.022,0.090,0.005206,0.218681,0.000000,0.001433,0.013823,0.760857
28,1163.61,0.250,-9.703,0.0722,3.3476,38.7011,0.0000,0.0000,0.0000,0.0000,20.4217,0.4831,39.7581,0.1378,0.0000,0.4982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.094,-0.847,0.172,0.022,0.088,0.005287,0.220646,0.000000,0.001432,0.013792,0.758843
29,1162.61,0.250,-9.715,0.0704,3.3501,38.6689,0.0000,0.0000,0.0000,0.0000,20.5874,0.4902,39.6192,0.1376,0.0000,0.4967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.066,-0.825,0.168,0.021,0.085,0.005368,0.222620,0.000000,0.001431,0.013762,0.756818
30,1161.61,0.250,-9.726,0.0688,3.3527,38.6367,0.0000,0.0000,0.0000,0.0000,20.7536,0.4973,39.4798,0.1374,0.0000,0.4952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.039,-0.805,0.163,0.021,0.083,0.005450,0.224605,0.000000,0.001431,0.013732,0.754782
31,1160.61,0.250,-9.738,0.0672,3.3553,38.6043,0.0000,0.0000,0.0000,0.0000,20.9204,0.5044,39.3399,0.1373,0.0000,0.4937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.013,-0.784,0.159,0.020,0.081,0.005533,0.226601,0.000000,0.001430,0.013702,0.752734
32,1159.61,0.250,-9.750,0.0656,3.3579,38.5718,0.0000,0.0000,0.0000,0.0000,21.0879,0.5115,39.1995,0.1371,0.0000,0.4923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.988,-0.765,0.156,0.020,0.079,0.005617,0.228607,0.000000,0.001429,0.013674,0.750674
33,1158.61,0.250,-9.762,0.0641,3.3605,38.5392,0.0000,0.0000,0.0000,0.0000,21.2559,0.5187,39.0584,0.1369,0.0000,0.4908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.964,-0.746,0.152,0.019,0.077,0.005700,0.230624,0.000000,0.001428,0.013646,0.748602
34,1157.61,0.250,-9.774,0.0626,3.3631,38.5064,0.0000,0.0000,0.0000,0.0000,21.4246,0.5260,38.9168,0.1367,0.0000,0.4894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.940,-0.728,0.148,0.019,0.076,0.005785,0.232652,0.000000,0.001428,0.013618,0.746517
35,1156.61,0.250,-9.786,0.0612,3.3658,38.4735,0.0000,0.0000,0.0000,0.0000,21.5940,0.5333,38.7747,0.1365,0.0000,0.4881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.918,-0.710,0.145,0.018,0.074,0.005870,0.234691,0.000000,0.001427,0.013591,0.744420
36,1155.61,0.250,-9.798,0.0598,3.3684,38.4405,0.0000,0.0000,0.0000,0.0000,21.7640,0.5406,38.6319,0.1363,0.0000,0.4867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.896,-0.693,0.142,0.018,-11037486843642189343588997758570773125102371113323779930875105437024256.000,0.005956,0.236742,0.000000,0.001426,0.013565,0.742310
37,1154.61,0.250,-9.810,0.0585,3.3711,38.4073,0.0000,0.0000,0.0000,0.0000,21.9347,0.5480,38.4885,0.1362,0.0000,0.4854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.874,-0.677,0.138,0.017,0.070,0.006043,0.238805,0.000000,0.001425,0.013540,0.740187
38,1153.61,0.250,-9.822,0.0572,3.3738,38.3740,0.0000,0.0000,0.0000,0.0000,22.1060,0.5554,38.3445,0.1360,0.0000,0.4840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.853,-0.660,0.135,0.017,0.069,0.006130,0.240879,0.000000,0.001425,0.013515,0.738051
39,1152.61,0.250,-9.834,0.0559,3.3765,38.3406,0.0000,0.0000,0.0000,0.0000,22.2781,0.5629,38.1999,0.1358,0.0000,0.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.833,-0.645,0.132,0.017,0.067,0.006218,0.242966,0.000000,0.001424,0.013490,0.735902
40,1151.61,0.250,-9.846,0.0547,3.3792,38.3070,0.0000,0.0000,0.0000,0.0000,22.4508,0.5704,38.0546,0.1356,0.0000,0.4815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.814,-0.630,0.129,0.016,0.066,0.006307,0.245065,0.000000,0.001424,0.013467,0.733738
41,1150.61,0.250,-9.858,0.0535,3.3819,38.2732,0.0000,0.0000,0.0000,0.0000,22.6243,0.5780,37.9088,0.1354,0.0000,0.4802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.794,-0.615,0.126,0.016,0.064,0.006396,0.247176,0.000000,0.001423,0.013444,0.731561
42,1149.61,0.250,-9.870,0.0523,3.3846,38.2393,0.0000,0.0000,0.0000,0.0000,22.7985,0.5856,37.7622,0.1353,0.0000,0.4790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.776,-0.600,0.123,0.015,0.063,0.006486,0.249300,0.000000,0.001422,0.013421,0.729370
43,1148.61,0.250,-9.882,0.0512,3.3874,38.2053,0.0000,0.0000,0.0000,0.0000,22.9735,0.5933,37.6150,0.1351,0.0000,0.4778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.758,-0.586,0.121,0.015,0.061,0.006577,0.251437,0.000000,0.001422,0.013399,0.727165
44,1147.61,0.250,-9.894,0.0500,3.3902,38.1711,0.0000,0.0000,0.0000,0.0000,23.1492,0.6010,37.4671,0.1349,0.0000,0.4766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.740,-0.572,0.118,0.015,0.060,0.006668,0.253588,0.000000,0.001421,0.013378,0.724945
45,1146.61,0.250,-9.906,0.0489,3.3929,38.1368,0.0000,0.0000,0.0000,0.0000,23.3257,0.6088,37.3185,0.1348,0.0000,0.4755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.722,-0.559,0.115,0.014,0.059,0.006760,0.255751,0.000000,0.001421,0.013358,0.722710
