Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),albite,anorthite,sanidine
1,1190.61,0.250,-9.389,0.1447,2.6699,48.3204,0.0000,33.1934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1100,2.3653,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.515,-1.999,0.353,0.054,0.178,0.209782,0.789580,0.000638
2,1189.61,0.250,-9.401,0.3541,2.6697,48.3521,0.0000,33.1721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0850,2.3798,0.0110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.154,-4.892,0.863,0.133,0.436,0.211057,0.788298,0.000644
3,1188.61,0.250,-9.412,0.9621,2.6695,48.3894,0.0000,33.1469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0555,2.3970,0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.720,-13.293,2.344,0.360,1.185,0.212561,0.786784,0.000655
4,1187.61,0.250,-9.424,0.6078,2.6693,48.4234,0.0000,33.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0287,2.4126,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.560,-8.398,1.480,0.228,0.749,0.213930,0.785407,0.000663
5,1186.61,0.250,-9.435,0.5954,2.6690,48.4572,0.0000,33.1012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0020,2.4282,0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.343,-8.227,1.450,0.223,0.733,0.215294,0.784035,0.000671
6,1185.61,0.250,-9.446,0.5833,2.6688,48.4909,0.0000,33.0784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9754,2.4437,0.0116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.133,-8.061,1.420,0.219,0.718,0.216651,0.782670,0.000680
7,1184.61,0.250,-9.458,0.5716,2.6686,48.5244,0.0000,33.0558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9489,2.4591,0.0118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.928,-7.900,1.391,0.214,0.704,0.218002,0.781311,0.000688
8,1183.61,0.250,-9.469,0.5603,2.6684,48.5578,0.0000,33.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9225,2.4745,0.0119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.730,-7.744,1.363,0.210,0.690,0.219346,0.779957,0.000696
9,1182.61,0.250,-9.481,0.9431,2.6677,48.6541,0.0000,32.9684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8465,2.5188,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.376,-13.036,2.295,0.354,1.161,0.223224,0.776058,0.000718
10,1181.61,0.250,-9.493,0.5184,2.6673,48.7092,0.0000,32.9312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8030,2.5441,0.0125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.000,-7.165,1.261,0.194,0.638,0.225442,0.773828,0.000730
