Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),chromite,hercynite,magnetite,spinel,ulvospinel
53,1138.61,0.250,-10.004,0.0076,4.5014,0.0000,4.3304,14.6230,13.7249,33.7292,25.1357,0.0000,8.4568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.079,-0.056,0.016,0.002,0.007,0.439024,-0.131373,0.170029,0.415098,0.107223
54,1137.61,0.250,-10.016,0.0042,4.5049,0.0000,4.4542,14.4898,13.8272,33.5040,25.3496,0.0000,8.3752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.031,0.009,0.001,0.004,0.436609,-0.130104,0.171499,0.411578,0.110418
55,1136.61,0.250,-10.028,0.0041,4.5082,0.0000,4.5822,14.3568,13.9297,33.2712,25.5651,0.0000,8.2949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.031,0.009,0.001,0.004,0.434084,-0.128896,0.172974,0.408115,0.113724
56,1135.61,0.250,-10.041,0.0041,4.5115,0.0000,4.7146,14.2238,14.0327,33.0304,25.7825,0.0000,8.2161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.030,0.009,0.001,0.004,0.431445,-0.127753,0.174455,0.404707,0.117146
57,1134.61,0.250,-10.053,0.0041,4.5147,0.0000,4.8517,14.0906,14.1359,32.7812,26.0020,0.0000,8.1386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.030,0.009,0.001,0.004,0.428687,-0.126679,0.175943,0.401356,0.120693
58,1133.61,0.250,-10.065,0.0041,4.5178,0.0000,4.9938,13.9569,14.2396,32.5233,26.2238,0.0000,8.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.030,0.009,0.001,0.004,0.425805,-0.125675,0.177438,0.398061,0.124371
59,1132.61,0.250,-10.077,0.0020,4.5179,0.0000,4.9938,13.9569,14.2396,32.5233,26.2238,0.0000,8.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.020,-0.015,0.004,0.000,0.002,0.425805,-0.125675,0.177438,0.398061,0.124371
60,1131.61,0.250,-10.090,0.0063,4.5239,0.0000,5.2944,13.6878,14.4483,31.9794,26.6755,0.0000,7.9145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.065,-0.046,0.013,0.001,0.006,0.419643,-0.123903,0.180450,0.391648,0.132161
61,1130.61,0.250,-10.102,0.0042,4.5268,0.0000,5.4536,13.5517,14.5534,31.6926,26.9062,0.0000,7.8424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.042,-0.030,0.009,0.001,0.004,0.416354,-0.123137,0.181970,0.388522,0.136291
62,1129.61,0.250,-10.115,0.0042,4.5297,0.0000,5.6194,13.4143,14.6591,31.3950,27.1406,0.0000,7.7716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.042,-0.030,0.009,0.001,0.004,0.412913,-0.122459,0.183501,0.385453,0.140593
63,1128.61,0.250,-10.127,0.0042,4.5324,0.0000,5.7923,13.2753,14.7654,31.0857,27.3791,0.0000,7.7021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.030,0.009,0.001,0.004,0.409310,-0.121875,0.185042,0.382441,0.145083
64,1127.61,0.250,-10.139,0.0038,4.5423,0.0000,6.3541,12.7788,15.1209,30.1150,28.1700,0.0000,7.4612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.039,-0.027,0.008,0.001,0.004,0.398121,-0.120139,0.190258,0.371968,0.159794
65,1126.61,0.250,-10.152,0.0054,4.5425,0.0000,6.1979,12.8366,14.9998,30.4722,28.0169,0.0000,7.4765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.054,-0.038,0.011,0.001,0.005,0.402679,-0.119717,0.188657,0.372579,0.155802
66,1125.61,0.250,-10.164,0.0040,4.5458,0.0000,6.3743,12.6652,15.1003,30.1981,28.2576,0.0000,7.4045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.040,-0.028,0.008,0.001,0.004,0.399575,-0.119657,0.190168,0.369467,0.160446
67,1124.61,0.250,-10.177,0.0040,4.5490,0.0000,6.5580,12.4937,15.2010,29.9110,28.5024,0.0000,7.3339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.040,-0.028,0.008,0.001,0.004,0.396288,-0.119673,0.191683,0.366420,0.165281
68,1123.61,0.250,-10.189,0.0041,4.5519,0.0000,6.7597,12.3287,15.3056,29.5796,28.7604,0.0000,7.2660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.041,-0.029,0.009,0.001,0.004,0.392387,-0.119688,0.193243,0.363479,0.170579
69,1122.61,0.250,-10.202,0.0043,4.5544,0.0000,6.9823,12.1687,15.4144,29.2001,29.0339,0.0000,7.2007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.030,0.009,0.001,0.004,0.387821,-0.119729,0.194852,0.360647,0.176408
70,1121.61,0.250,-10.214,0.0043,4.5569,0.0000,7.2155,12.0055,15.5234,28.8044,29.3144,0.0000,7.1367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.030,0.009,0.001,0.004,0.383031,-0.119902,0.196469,0.357879,0.182523
71,1120.61,0.250,-10.227,0.0043,4.5593,0.0000,7.4603,11.8387,15.6326,28.3916,29.6027,0.0000,7.0741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.030,0.009,0.001,0.004,0.378003,-0.120216,0.198092,0.355174,0.188947
72,1119.61,0.250,-10.240,0.0043,4.5616,0.0000,7.7176,11.6678,15.7417,27.9606,29.8995,0.0000,7.0128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.030,0.009,0.001,0.004,0.372724,-0.120680,0.199722,0.352531,0.195703
73,1118.61,0.250,-10.252,0.0044,4.5639,0.0000,7.9883,11.4922,15.8507,27.5102,30.2057,0.0000,6.9529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.043,-0.030,0.009,0.001,0.004,0.367177,-0.121304,0.201355,0.349952,0.202820
74,1117.61,0.250,-10.265,0.0044,4.5660,0.0000,8.2735,11.3116,15.9593,27.0391,30.5223,0.0000,6.8941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.044,-0.031,0.009,0.001,0.004,0.361345,-0.122097,0.202990,0.347434,0.210327
75,1116.61,0.250,-10.277,0.0044,4.5681,0.0000,8.5744,11.1253,16.0673,26.5462,30.8501,0.0000,6.8367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.044,-0.031,0.009,0.001,0.004,0.355211,-0.123070,0.204625,0.344979,0.218256
76,1115.61,0.250,-10.290,0.0045,4.5701,0.0000,8.8923,10.9327,16.1743,26.0299,31.1904,0.0000,6.7805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.044,-0.031,0.010,0.001,0.004,0.348755,-0.124235,0.206255,0.342586,0.226639
77,1114.61,0.250,-10.303,0.0046,4.5720,0.0000,9.2283,10.7333,16.2799,25.4890,31.5441,0.0000,6.7254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.045,-0.031,0.010,0.001,0.004,0.341959,-0.125602,0.207876,0.340253,0.235514
